Date,visit_day,health_money,claim_num,patient_num,illness_name,code
20170110,2222344,33791334,2219882,1621877,비염,J00
20170210,2082204,31993145,2080546,1501727,비염,J00
20170310,2660256,40835646,2658032,1876454,비염,J00
20170410,2669837,41556393,2667759,1906079,비염,J00
20170510,2227617,35335094,2225985,1615587,비염,J00
20170610,1673182,26646434,1671970,1205814,비염,J00
20170710,1389193,22473032,1387758,1017594,비염,J00
20170810,1633277,26596369,1631445,1234227,비염,J00
20170910,2850254,45192479,2848918,1997103,비염,J00
20171010,2256578,36045814,2254864,1683576,비염,J00
20171110,2878623,44024869,2876613,2039249,비염,J00
20171210,3178449,48715416,3176169,2297268,비염,J00
20180110,3057150,48203057,3053275,2223628,비염,J00
20180210,2112485,33772821,2110764,1573843,비염,J00
20180310,2479644,40210094,2478092,1760008,비염,J00
20180410,2627718,42773173,2625874,1867671,비염,J00
20180510,2160652,35599263,2158473,1565950,비염,J00
20180610,1631283,27331375,1629884,1180442,비염,J00
20180710,1414107,23889803,1412580,1031956,비염,J00
20180810,1290702,22256469,1288967,970738,비염,J00
20180910,2479673,41823569,2477780,1808183,비염,J00
20181010,2837778,45846914,2835905,2041779,비염,J00
20181110,2788077,44093222,2785769,1968280,비염,J00
20181210,2946898,46675823,2944840,2116477,비염,J00
20190110,2332058,38663958,2329774,1697980,비염,J00
20190210,1855150,31432940,1854121,1387373,비염,J00
20190310,2426092,41041603,2424472,1734246,비염,J00
20190410,2750064,45871754,2748487,1961280,비염,J00
20190510,2493960,43115693,2492197,1784864,비염,J00
20190610,1582149,27512851,1581038,1156889,비염,J00
20190710,1498887,25998607,1497558,1092425,비염,J00
20190810,1397824,25023993,1396568,1057513,비염,J00
20190910,2402834,41279586,2402294,1765538,비염,J00
20191010,2710457,44985650,2709806,1956400,비염,J00
20191110,2698332,44496286,2697357,1931193,비염,J00
20191210,2828222,46335282,2827251,2042188,비염,J00
20200110,2637252,45029826,2635851,1968051,비염,J00
20200210,1803864,30659198,1803150,1334346,비염,J00
20200310,1192908,21498118,1192003,896719,비염,J00
20200410,1068269,20244166,1067750,810910,비염,J00
20200510,1381474,26315119,1381002,1015860,비염,J00
20200610,1227265,22820238,1226892,897213,비염,J00
20200710,1137585,21253636,1137062,836167,비염,J00
20200810,951462,18287817,951198,728047,비염,J00
20200910,1632231,30497583,1631989,1223612,비염,J00
